variable,test_used,p_value,significant,p_bonf,significant_bonf
income,Chi-square,6.587039511560409e-08,True,6.784650696907221e-06,True
iat_15,Chi-square,1.6300437742961039e-07,True,1.678945087524987e-05,True
iat_1,Chi-square,1.7925205764811143e-07,True,1.8462961937755478e-05,True
DAST_total,Chi-square,2.123481732801449e-07,True,2.1871861847854925e-05,True
iat_11,Chi-square,7.272537941789443e-07,True,7.490714080043126e-05,True
iat_7,Chi-square,1.0084571489796615e-06,True,0.00010387108634490514,True
iat_9,Chi-square,1.130483182805626e-06,True,0.00011643976782897948,True
iat_3,Chi-square,1.7219819825629778e-06,True,0.0001773641442039867,True
IAT_total,Chi-square,3.0416811062498903e-06,True,0.0003132931539437387,True
iat_17,Chi-square,3.388475342856425e-06,True,0.0003490129603142118,True
education,Chi-square,4.509671997958904e-06,True,0.00046449621578976714,True
iat_10,Chi-square,6.032723049205253e-06,True,0.0006213704740681411,True
iat_19,Chi-square,6.1597998912967635e-06,True,0.0006344593888035667,True
MSPSS_total,Chi-square,9.4915154006871e-06,True,0.0009776260862707712,True
SWLS_total,Chi-square,9.4915154006871e-06,True,0.0009776260862707712,True
WHO5_total,Chi-square,9.4915154006871e-06,True,0.0009776260862707712,True
iat_4,Chi-square,9.495021754323213e-06,True,0.000977987240695291,True
iat_14,Chi-square,1.0317423869321196e-05,True,0.0010626946585400832,True
iat_12,Chi-square,1.494861355520213e-05,True,0.0015397071961858193,True
swls_2,Chi-square,1.8379821731673647e-05,True,0.0018931216383623857,True
iat_2,Chi-square,2.6493574021629e-05,True,0.002728838124227787,True
iat_6,Chi-square,3.83916706240169e-05,True,0.003954342074273741,True
swls_3,Chi-square,4.616249602236687e-05,True,0.004754737090303787,True
AUDIT_total,Chi-square,5.6191791669970496e-05,True,0.005787754542006961,True
iat_18,Chi-square,0.00010400848510214538,True,0.010712873965520973,True
mspss_3,Chi-square,0.00010636670199660782,True,0.010955770305650606,True
iat_16,Chi-square,0.000256470157461152,True,0.026416426218498656,True
iat_5,Chi-square,0.00026646423994043135,True,0.02744581671386443,True
iat_8,Chi-square,0.0003770162657431545,True,0.03883267537154492,True
iat_13,Chi-square,0.0004408278198140072,True,0.04540526544084274,True
who5_4,Chi-square,0.000632592355855348,True,0.06515701265310084,False
iat_20,Chi-square,0.0006439352392728011,True,0.06632532964509852,False
who5_1,Chi-square,0.0011242125413062714,True,0.11579389175454595,False
who5_2,Chi-square,0.0013481357968768688,True,0.13885798707831748,False
who5_3,Chi-square,0.001367032450569836,True,0.1408043424086931,False
PGSI_total,Chi-square,0.0014704531669114981,True,0.1514566761918843,False
who5_5,Chi-square,0.0016577869167595878,True,0.17075205242623753,False
swls_1,Chi-square,0.001740556089018848,True,0.17927727716894135,False
dast_7,Chi-square,0.0020880023619758332,True,0.21506424328351081,False
mspss_1,Chi-square,0.0024367548587918837,True,0.25098575045556404,False
audit_2,Chi-square,0.0024580853962799373,True,0.25318279581683356,False
swls_4,Chi-square,0.0047518766737304294,True,0.48944329739423426,False
pcl5_7,Chi-square,0.004908324965186969,True,0.5055574714142578,False
audit_8,Chi-square,0.005894531057280445,True,0.6071366988998859,False
audit_6,Chi-square,0.006436797743076703,True,0.6629901675369004,False
pgsi_8,Chi-square,0.00930024753233799,True,0.957925495830813,False
mspss_4,Chi-square,0.010008689208590386,True,1.0,False
mspss_6,Chi-square,0.026143194450105798,True,1.0,False
swls_5,Chi-square,0.02887202634030491,True,1.0,False
pcl5_6,Chi-square,0.02924256050687888,True,1.0,False
mspss_10,Chi-square,0.030745726857324254,True,1.0,False
dast_1,Chi-square,0.03289618871580269,True,1.0,False
PCL5_total,Chi-square,0.03857380556505341,True,1.0,False
audit_1,Chi-square,0.04139889843333221,True,1.0,False
audit_7,Chi-square,0.04343097542375047,True,1.0,False
mspss_12,Chi-square,0.043507632092603644,True,1.0,False
pcl5_11,Chi-square,0.04402475730029625,True,1.0,False
audit_4,Chi-square,0.04553533834635359,True,1.0,False
dast_3,Chi-square,0.05350032832794362,False,1.0,False
audit_5,Chi-square,0.05502325346125323,False,1.0,False
pcl5_3,Chi-square,0.059353318661134614,False,1.0,False
audit_9,Chi-square,0.0676458707676183,False,1.0,False
pcl5_18,Chi-square,0.06960845374723158,False,1.0,False
dast_10,Chi-square,0.08988455225156239,False,1.0,False
pcl5_5,Chi-square,0.09024882994223864,False,1.0,False
audit_3,Chi-square,0.0908766598740211,False,1.0,False
dast_9,Chi-square,0.09664126709713139,False,1.0,False
pgsi_9,Chi-square,0.10013500540700529,False,1.0,False
pcl5_19,Chi-square,0.10859377343236469,False,1.0,False
mspss_7,Chi-square,0.10985758547193457,False,1.0,False
pcl5_16,Chi-square,0.123722211458126,False,1.0,False
pcl5_14,Chi-square,0.1250806677534562,False,1.0,False
audit_10,Chi-square,0.13194777475494318,False,1.0,False
pcl5_2,Chi-square,0.14251349651197362,False,1.0,False
pgsi_6,Chi-square,0.14372816428407026,False,1.0,False
gender,Chi-square,0.14644207042572216,False,1.0,False
pgsi_7,Chi-square,0.16301847123986996,False,1.0,False
pcl5_15,Chi-square,0.18742692415189355,False,1.0,False
dast_4,Chi-square,0.19807204675532766,False,1.0,False
pcl5_13,Chi-square,0.2124027362616325,False,1.0,False
mspss_9,Chi-square,0.2200625561886444,False,1.0,False
mspss_8,Chi-square,0.22518150561241085,False,1.0,False
pgsi_3,Chi-square,0.2549360128847646,False,1.0,False
dast_6,Chi-square,0.28314520218042255,False,1.0,False
mspss_2,Chi-square,0.31307561634897885,False,1.0,False
dast_5,Chi-square,0.32025020537481863,False,1.0,False
mspss_5,Chi-square,0.3566586345207835,False,1.0,False
pcl5_4,Chi-square,0.3672599218241168,False,1.0,False
pcl5_9,Chi-square,0.3917827783781051,False,1.0,False
pgsi_5,Chi-square,0.39579807460068184,False,1.0,False
dast_2,Chi-square,0.4037216756629359,False,1.0,False
mspss_11,Chi-square,0.4284001347565727,False,1.0,False
pgsi_4,Chi-square,0.45909505490747393,False,1.0,False
pgsi_2,Chi-square,0.5237767754027259,False,1.0,False
pcl5_1,Chi-square,0.6252483025627312,False,1.0,False
pcl5_8,Chi-square,0.6772221026196856,False,1.0,False
pcl5_20,Chi-square,0.6985603382831785,False,1.0,False
pcl5_12,Chi-square,0.7011165507719339,False,1.0,False
dast_8,Chi-square,0.781744446430953,False,1.0,False
pgsi_1,Chi-square,0.7835783236251698,False,1.0,False
age,Chi-square,0.954439318644694,False,1.0,False
pcl5_17,Chi-square,0.9609133879229611,False,1.0,False
pcl5_10,Chi-square,0.9757721701511587,False,1.0,False
